# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  85               1.63115891E+02   2.12427540E+03   8.38113095E-01   1.60293073E-01   5.63461932E-04   1.85608421E-04   2.57635488E-04   3.42583566E-04   5.27815608E-05   2.16453924E-05  
  86               1.72359960E+02   2.15347200E+03   8.38083386E-01   1.60287913E-01   5.57488363E-04   1.79355033E-04   2.98416889E-04   3.48554746E-04   5.26479834E-05   2.16184781E-05  
  87               1.83131584E+02   2.18696241E+03   8.38043089E-01   1.60281531E-01   5.50838047E-04   1.72353843E-04   3.51673595E-04   3.55209126E-04   5.24988120E-05   2.15840745E-05  
  88               1.95604202E+02   2.22272523E+03   8.37960282E-01   1.60268426E-01   5.44733431E-04   1.65841115E-04   4.16159438E-04   3.61299156E-04   5.23138087E-05   2.15459176E-05  
  89               2.05326425E+02   2.25004627E+03   8.37914996E-01   1.60262628E-01   5.40215529E-04   1.61014213E-04   4.71728940E-04   3.65797398E-04   5.21764857E-05   2.15143962E-05  
  90               2.12645816E+02   2.26920655E+03   8.37879916E-01   1.60258415E-01   5.37488494E-04   1.58057751E-04   5.13715281E-04   3.68509089E-04   5.20658958E-05   2.14925338E-05  
  91               2.21393555E+02   2.29227677E+03   8.37833902E-01   1.60252971E-01   5.34123179E-04   1.54404793E-04   5.68509354E-04   3.71855833E-04   5.19408711E-05   2.14637522E-05  
  92               2.31800266E+02   2.31784605E+03   8.37775867E-01   1.60246362E-01   5.30938568E-04   1.50882076E-04   6.33925581E-04   3.75016591E-04   5.17847217E-05   2.14319380E-05  
  93               2.44122871E+02   2.34772887E+03   8.37696741E-01   1.60238098E-01   5.31923505E-04   1.45886693E-04   7.18076108E-04   3.79599187E-04   5.16106437E-05   2.14074803E-05  
  94               2.58650207E+02   2.38050439E+03   8.37607770E-01   1.60228935E-01   5.28687831E-04   1.42015060E-04   8.19346320E-04   3.82951048E-04   5.13942010E-05   2.13628229E-05  
  95               2.75706840E+02   2.41776382E+03   8.37494034E-01   1.60217519E-01   5.25238461E-04   1.37813967E-04   9.47845633E-04   3.86519829E-04   5.11459308E-05   2.13079437E-05  
  96               2.95656179E+02   2.45816719E+03   8.37355106E-01   1.60204106E-01   5.22222392E-04   1.33937920E-04   1.10308313E-03   3.89649253E-04   5.08514123E-05   2.12461794E-05  
  97               3.18910537E+02   2.50288564E+03   8.37180691E-01   1.60187649E-01   5.19311322E-04   1.30019667E-04   1.29674205E-03   3.92670015E-04   5.05138434E-05   2.11727961E-05  
  98               3.45944718E+02   2.55090989E+03   8.36968289E-01   1.60168131E-01   5.16956199E-04   1.26501040E-04   1.53087367E-03   3.95128326E-04   5.01214855E-05   2.10901489E-05  
  99               3.77324431E+02   2.60274815E+03   8.36707642E-01   1.60144616E-01   5.15071465E-04   1.23253816E-04   1.81676333E-03   3.97115004E-04   4.96721601E-05   2.09955732E-05  
  100              4.13719527E+02   2.65821402E+03   8.36390625E-01   1.60116457E-01   5.13805250E-04   1.20386007E-04   2.16302878E-03   3.98488979E-04   4.91585982E-05   2.08888873E-05  
  101              4.55954312E+02   2.71665779E+03   8.36012530E-01   1.60083361E-01   5.13425803E-04   1.18125218E-04   2.57439042E-03   3.98992633E-04   4.85698496E-05   2.07721428E-05  
