# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                N2               NH3              CO              
  90               6.55863757E+02   2.26086502E+03   8.37796825E-01   1.60363942E-01   7.72846785E-04   3.93701285E-04   2.79754830E-04   3.87608662E-05   4.31826627E-05   1.32848129E-04  
  91               6.99738983E+02   2.29767818E+03   8.37756227E-01   1.60358016E-01   7.67592810E-04   3.87752621E-04   3.28880679E-04   3.83966991E-05   4.37971908E-05   1.38132291E-04  
  92               7.50982417E+02   2.33727086E+03   8.37701055E-01   1.60351511E-01   7.67108464E-04   3.81405334E-04   3.88562078E-04   3.79527127E-05   4.45581238E-05   1.43703180E-04  
  93               8.10742284E+02   2.38166615E+03   8.37604442E-01   1.60337524E-01   7.61885350E-04   3.74992200E-04   4.65388057E-04   3.74547376E-05   4.53942775E-05   1.49119738E-04  
  94               8.60887548E+02   2.41600942E+03   8.37547099E-01   1.60331310E-01   7.58491331E-04   3.70596933E-04   5.32011445E-04   3.70276514E-05   4.61228527E-05   1.52688904E-04  
  95               9.00139036E+02   2.44251113E+03   8.37498341E-01   1.60325954E-01   7.55838825E-04   3.67125756E-04   5.88546376E-04   3.67095314E-05   4.66565465E-05   1.55474451E-04  
  96               9.46678155E+02   2.47173568E+03   8.37439606E-01   1.60319859E-01   7.53437605E-04   3.63778342E-04   6.55488257E-04   3.63197708E-05   4.73205172E-05   1.58020239E-04  
  97               1.00150716E+03   2.50527864E+03   8.37365478E-01   1.60312298E-01   7.50751559E-04   3.59942025E-04   7.39544384E-04   3.58774184E-05   4.80660336E-05   1.60870716E-04  
  98               1.06569214E+03   2.54185776E+03   8.37276182E-01   1.60303580E-01   7.48404149E-04   3.56262222E-04   8.39525337E-04   3.53560882E-05   4.89520144E-05   1.63396448E-04  
  99               1.14050211E+03   2.58235471E+03   8.37166438E-01   1.60293129E-01   7.46155553E-04   3.52434374E-04   9.61544690E-04   3.47641170E-05   4.99545424E-05   1.65844004E-04  
  100              1.22737552E+03   2.62626475E+03   8.37034017E-01   1.60280884E-01   7.44304232E-04   3.48739818E-04   1.10757626E-03   3.40890737E-05   5.10999239E-05   1.67916939E-04  
  101              1.32795691E+03   2.67329170E+03   8.36876150E-01   1.60266689E-01   7.43043973E-04   3.45343375E-04   1.28034158E-03   3.33233957E-05   5.24037411E-05   1.69427526E-04  
