# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  82               2.64042163E+01   1.92364597E+03   8.38404470E-01   1.60249713E-01   4.13028752E-04   4.93832080E-04   3.62308771E-05   1.67689700E-04   5.87843759E-05   2.07113890E-05  
  83               2.80400755E+01   1.95371974E+03   8.38376352E-01   1.60246022E-01   4.10119195E-04   4.96700824E-04   3.32972974E-05   2.02383661E-04   5.87700052E-05   2.06997030E-05  
  84               2.94028073E+01   1.97778713E+03   8.38349750E-01   1.60242812E-01   4.08047768E-04   4.98747848E-04   3.11994062E-05   2.34223040E-04   5.87738897E-05   2.06880976E-05  
  85               3.04811083E+01   1.99613797E+03   8.38326863E-01   1.60240204E-01   4.06597851E-04   5.00172789E-04   2.97426080E-05   2.61138879E-04   5.87568135E-05   2.06778678E-05  
  86               3.16973068E+01   2.01627903E+03   8.38298950E-01   1.60237149E-01   4.05134583E-04   5.01610655E-04   2.82612292E-05   2.93544729E-04   5.87347480E-05   2.06650233E-05  
  87               3.30635347E+01   2.03805820E+03   8.38233083E-01   1.60227450E-01   4.03680566E-04   5.03004966E-04   2.68009141E-05   3.32136694E-04   5.87042952E-05   2.06485124E-05  
  88               3.46010270E+01   2.06177647E+03   8.38191970E-01   1.60223290E-01   4.02254027E-04   5.04406625E-04   2.53443966E-05   3.78777892E-04   5.86754009E-05   2.06288806E-05  
  89               3.63465873E+01   2.08761926E+03   8.38141603E-01   1.60218314E-01   4.00895219E-04   5.05757173E-04   2.39137178E-05   4.35428183E-04   5.86475332E-05   2.06046834E-05  
  90               3.76742253E+01   2.10669300E+03   8.38100427E-01   1.60214325E-01   3.99938559E-04   5.06687135E-04   2.29423660E-05   4.81489623E-04   5.86610050E-05   2.05843600E-05  
  91               3.86490794E+01   2.12026273E+03   8.38069020E-01   1.60211329E-01   3.99302321E-04   5.07290071E-04   2.23008757E-05   5.16529683E-04   5.86321214E-05   2.05688438E-05  
  92               3.97637585E+01   2.13553612E+03   8.38031361E-01   1.60207770E-01   3.98622972E-04   5.07935589E-04   2.16111198E-05   5.58423538E-04   5.86067337E-05   2.05501101E-05  
  93               4.10337682E+01   2.15237224E+03   8.37987001E-01   1.60203623E-01   3.97930388E-04   5.08589487E-04   2.09064526E-05   6.07613700E-04   5.85810993E-05   2.05281476E-05  
  94               4.24789181E+01   2.17111633E+03   8.37933835E-01   1.60198697E-01   3.97204602E-04   5.09270400E-04   2.01665257E-05   6.66421740E-04   5.85530914E-05   2.05017549E-05  
  95               4.41178876E+01   2.19157545E+03   8.37871173E-01   1.60192948E-01   3.96482568E-04   5.09941296E-04   1.94278389E-05   7.35543352E-04   5.85211156E-05   2.04708906E-05  
  96               4.59705596E+01   2.21406361E+03   8.37796271E-01   1.60186128E-01   3.95746175E-04   5.10618783E-04   1.86719391E-05   8.17989769E-04   5.84847880E-05   2.04341088E-05  
  97               4.80581628E+01   2.23829553E+03   8.37708314E-01   1.60178186E-01   3.95035848E-04   5.11262477E-04   1.79384096E-05   9.14588291E-04   5.84430481E-05   2.03914793E-05  
  98               5.04033655E+01   2.26460328E+03   8.37603579E-01   1.60168788E-01   3.94331048E-04   5.11891075E-04   1.72062861E-05   1.02941704E-03   5.83959255E-05   2.03412224E-05  
  99               5.30305648E+01   2.29258254E+03   8.37481332E-01   1.60157888E-01   3.93675146E-04   5.12461569E-04   1.65175809E-05   1.16320998E-03   5.83420827E-05   2.02837300E-05  
  100              5.59660413E+01   2.32263012E+03   8.37334448E-01   1.60144649E-01   3.93040427E-04   5.12997183E-04   1.58448956E-05   1.32159957E-03   5.82816671E-05   2.02167208E-05  
  101              5.92384898E+01   2.35417219E+03   8.37158869E-01   1.60129621E-01   3.98339788E-04   5.13691374E-04   1.50166829E-05   1.50459825E-03   5.82186091E-05   2.01726406E-05  
