# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H                H2S             
  72               4.40677577E+01   1.10401968E+03   8.38126559E-01   1.60455906E-01   7.74772207E-04   5.25162171E-04   4.09193559E-05   3.97075775E-05   3.87689250E-09   2.42850066E-05  
  73               5.08725613E+01   1.15145308E+03   8.38127596E-01   1.60454846E-01   7.74773283E-04   5.25162893E-04   4.09194131E-05   3.97076330E-05   9.81292173E-09   2.42847286E-05  
  74               5.85690924E+01   1.19764219E+03   8.38128410E-01   1.60453970E-01   7.74774779E-04   5.25163839E-04   4.09194959E-05   3.97077134E-05   2.24733635E-08   2.42843985E-05  
  75               6.72571931E+01   1.24295519E+03   8.38129019E-01   1.60453192E-01   7.74776565E-04   5.25164548E-04   4.09196196E-05   3.97078332E-05   4.75194552E-08   2.42839658E-05  
  76               7.71045656E+01   1.28685026E+03   8.38129342E-01   1.60452474E-01   7.74776852E-04   5.25161729E-04   4.09198185E-05   3.97080253E-05   9.28532276E-08   2.42833890E-05  
  77               8.82496515E+01   1.33191935E+03   8.38129435E-01   1.60451637E-01   7.74764773E-04   5.25138796E-04   4.09201239E-05   3.97083166E-05   1.76186731E-07   2.42825437E-05  
  78               1.00795507E+02   1.37690619E+03   8.38129320E-01   1.60450700E-01   7.74693120E-04   5.25028567E-04   4.09205434E-05   3.97087007E-05   3.19338736E-07   2.42813561E-05  
  79               1.14846474E+02   1.42391922E+03   8.38129309E-01   1.60449534E-01   7.74406448E-04   5.24624854E-04   4.09209914E-05   3.97090365E-05   5.71321296E-07   2.42795837E-05  
  80               1.30539417E+02   1.47165180E+03   8.38129995E-01   1.60448266E-01   7.73520732E-04   5.23473282E-04   4.09214070E-05   3.97090451E-05   9.91376799E-07   2.42769957E-05  
  81               1.48092019E+02   1.52227900E+03   8.38132110E-01   1.60446794E-01   7.71456195E-04   5.21014997E-04   4.09217206E-05   3.97078871E-05   1.71465722E-06   2.42727596E-05  
  82               1.67651823E+02   1.57410459E+03   8.38135578E-01   1.60445148E-01   7.68043195E-04   5.17207991E-04   4.09224747E-05   3.97037803E-05   2.89360611E-06   2.42652771E-05  
  83               1.89269545E+02   1.62674254E+03   8.38139479E-01   1.60443123E-01   7.63529784E-04   5.12242458E-04   4.09246868E-05   3.96923887E-05   4.75290091E-06   2.42501189E-05  
  84               2.12946905E+02   1.67861683E+03   8.38127036E-01   1.60437731E-01   7.58612998E-04   5.06416402E-04   4.09287697E-05   3.96677142E-05   7.50046885E-06   2.42166821E-05  
  85               2.38640363E+02   1.73058721E+03   8.38112476E-01   1.60434836E-01   7.71995653E-04   4.98889717E-04   4.09534071E-05   3.96489274E-05   1.15147924E-05   2.33825214E-05  
  86               2.66471557E+02   1.78149806E+03   8.38116374E-01   1.60431952E-01   7.65073364E-04   4.91424821E-04   4.09459031E-05   3.96363344E-05   1.70671537E-05   2.33857390E-05  
  87               2.96782474E+02   1.83293032E+03   8.38118011E-01   1.60428487E-01   7.57677409E-04   4.83138920E-04   4.09027120E-05   3.96946733E-05   2.48199309E-05   2.33816850E-05  
  88               3.29824319E+02   1.88383413E+03   8.38114515E-01   1.60424421E-01   7.51374962E-04   4.74460948E-04   4.07872470E-05   3.98964244E-05   3.51684654E-05   2.33565533E-05  
  89               3.65702266E+02   1.93523876E+03   8.38098673E-01   1.60418733E-01   7.48421984E-04   4.64941690E-04   4.06123245E-05   4.01889351E-05   4.90409929E-05   2.32817748E-05  
  90               4.04048399E+02   1.98532326E+03   8.38063376E-01   1.60411202E-01   7.53763708E-04   4.54819919E-04   4.03700882E-05   4.06030479E-05   6.65682640E-05   2.31146235E-05  
  91               4.44061920E+02   2.03416498E+03   8.37997858E-01   1.60400626E-01   7.72832807E-04   4.43272659E-04   4.00999363E-05   4.10587597E-05   8.83241034E-05   2.28137602E-05  
  92               4.88695249E+02   2.08410584E+03   8.37913024E-01   1.60389379E-01   8.06547148E-04   4.29881633E-04   3.97646962E-05   4.16345111E-05   1.16141392E-04   2.24105881E-05  
  93               5.34707869E+02   2.13224642E+03   8.37893240E-01   1.60384149E-01   7.98152515E-04   4.20945795E-04   3.94098246E-05   4.22409905E-05   1.49291222E-04   2.24002715E-05  
  94               5.80807746E+02   2.17680043E+03   8.37868481E-01   1.60378958E-01   7.90864476E-04   4.13082054E-04   3.90341774E-05   4.28867864E-05   1.86248758E-04   2.23868961E-05  
  95               6.33464514E+02   2.22463862E+03   8.37824453E-01   1.60370991E-01   7.83382063E-04   4.04892235E-04   3.86055029E-05   4.36177958E-05   2.33700292E-04   2.23677255E-05  
  96               6.84585615E+02   2.26766593E+03   8.37785883E-01   1.60365134E-01   7.77224175E-04   3.98001548E-04   3.81782854E-05   4.43502286E-05   2.83955520E-04   2.23473714E-05  
  97               7.31584546E+02   2.30518584E+03   8.37743815E-01   1.60359170E-01   7.72153973E-04   3.92210491E-04   3.77897776E-05   4.50122862E-05   3.34383167E-04   2.23266210E-05  
  98               7.86733413E+02   2.34651567E+03   8.37685580E-01   1.60352328E-01   7.71529022E-04   3.85638608E-04   3.73317945E-05   4.57952699E-05   3.97589423E-04   2.23091324E-05  
  99               8.51336409E+02   2.39201573E+03   8.37586395E-01   1.60338272E-01   7.66523376E-04   3.79390986E-04   3.67984824E-05   4.66992389E-05   4.77367443E-04   2.22769533E-05  
  100              9.06050519E+02   2.42824591E+03   8.37524515E-01   1.60331596E-01   7.62967883E-04   3.74755334E-04   3.63520361E-05   4.74588943E-05   5.49138924E-04   2.22496228E-05  
  101              9.49408858E+02   2.45560544E+03   8.37472851E-01   1.60326095E-01   7.60534238E-04   3.71458049E-04   3.60004816E-05   4.80570037E-05   6.08475343E-04   2.22276408E-05  
