# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  84               1.06601167E+01   2.29222330E+03   8.36194524E-01   1.60037065E-01   2.58757051E-03   5.28958090E-04   3.76370973E-04   6.02019693E-05   6.32978710E-05   1.89621164E-05  
  85               1.16222178E+01   2.33818620E+03   8.35683703E-01   1.59993043E-01   3.13402239E-03   5.28846330E-04   3.82477844E-04   6.01658544E-05   6.30667121E-05   1.87447011E-05  
  86               1.27047540E+01   2.38649510E+03   8.35071588E-01   1.59939675E-01   3.79970108E-03   5.28682301E-04   3.82356166E-04   6.01229866E-05   6.28140450E-05   1.84584416E-05  
  87               1.39210070E+01   2.43558250E+03   8.34358685E-01   1.59877528E-01   4.57503156E-03   5.28476765E-04   3.82180252E-04   6.00728632E-05   6.25419019E-05   1.81489193E-05  
  88               1.52863828E+01   2.48663052E+03   8.33507674E-01   1.59803345E-01   5.50058825E-03   5.28223259E-04   3.81955760E-04   6.00149721E-05   6.22465172E-05   1.78061244E-05  
  89               1.68179981E+01   2.53820514E+03   8.32532703E-01   1.59718364E-01   6.56096955E-03   5.27922171E-04   3.81694462E-04   5.99486795E-05   6.19300356E-05   1.74450469E-05  
  90               1.85350088E+01   2.59141948E+03   8.31391678E-01   1.59618912E-01   7.80195743E-03   5.27564057E-04   3.81385401E-04   5.98726544E-05   6.15886990E-05   1.70563184E-05  
  91               2.04589471E+01   2.64488720E+03   8.30108538E-01   1.59507081E-01   9.19749790E-03   5.27152446E-04   3.81044276E-04   5.97865246E-05   6.12250206E-05   1.66573170E-05  
  92               2.26140107E+01   2.69972963E+03   8.28635569E-01   1.59378710E-01   1.07994842E-02   5.26675486E-04   3.80658894E-04   5.96884998E-05   6.08350861E-05   1.62384162E-05  
  93               2.50271387E+01   2.75457892E+03   8.27010290E-01   1.59237074E-01   1.25670879E-02   5.26140519E-04   3.80250045E-04   5.95783877E-05   6.04219523E-05   1.58186599E-05  
  94               2.77281916E+01   2.81065398E+03   8.25175486E-01   1.59077184E-01   1.45625350E-02   5.25532405E-04   3.79803392E-04   5.94536368E-05   5.99813642E-05   1.53866460E-05  
  95               3.07499675E+01   2.86655998E+03   8.23185789E-01   1.58903806E-01   1.67263809E-02   5.24863058E-04   3.79346083E-04   5.93141086E-05   5.95171723E-05   1.49624617E-05  
  96               3.41281338E+01   2.92357590E+03   8.20973801E-01   1.58711066E-01   1.91319241E-02   5.24113828E-04   3.78861702E-04   5.91559998E-05   5.90249499E-05   1.45329997E-05  
  97               3.79015239E+01   2.98021030E+03   8.18617463E-01   1.58505761E-01   2.16943646E-02   5.23302748E-04   3.78385299E-04   5.89789720E-05   5.85097016E-05   1.41193905E-05  
  98               4.21122335E+01   3.03789014E+03   8.16032385E-01   1.58280533E-01   2.45054797E-02   5.22405826E-04   3.77895495E-04   5.87768062E-05   5.79665136E-05   1.37057019E-05  
  99               4.68017574E+01   3.09489305E+03   8.13330639E-01   1.58045158E-01   2.74433461E-02   5.21450174E-04   3.77437039E-04   5.85486741E-05   5.74023783E-05   1.33149396E-05  
  100              5.20122357E+01   3.15279067E+03   8.10406945E-01   1.57790455E-01   3.06224596E-02   5.20405678E-04   3.76980026E-04   5.82842420E-05   5.68122848E-05   1.29281927E-05  
  101              5.77890365E+01   3.20980579E+03   8.07399467E-01   1.57528472E-01   3.38925236E-02   5.19306271E-04   3.76574077E-04   5.79808533E-05   5.62043204E-05   1.25679898E-05  
