# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  83               1.01945399E+01   1.02777368E+03   8.38228534E-01   1.60465841E-01   7.08188118E-04   4.63266245E-04   5.43458348E-05   3.25561600E-05   2.35515113E-05   1.28370865E-05  
  84               1.12813643E+01   1.05841515E+03   8.38227758E-01   1.60465127E-01   7.08201129E-04   4.63274756E-04   5.43468334E-05   3.25575739E-05   2.42864138E-05   1.28373224E-05  
  85               1.24725435E+01   1.08955639E+03   8.38228374E-01   1.60464508E-01   7.08199325E-04   4.63273573E-04   5.43466953E-05   3.25601073E-05   2.42862506E-05   1.28372898E-05  
  86               1.37759193E+01   1.12120518E+03   8.38229067E-01   1.60463805E-01   7.08197291E-04   4.63272226E-04   5.43465409E-05   3.25679943E-05   2.42860366E-05   1.28372533E-05  
  87               1.52005012E+01   1.15327089E+03   8.38229892E-01   1.60462949E-01   7.08194902E-04   4.63270583E-04   5.43463659E-05   3.25910103E-05   2.42857445E-05   1.28372120E-05  
  88               1.67605134E+01   1.18593422E+03   8.38230922E-01   1.60461840E-01   7.08191885E-04   4.63268253E-04   5.43461721E-05   3.26543537E-05   2.42853343E-05   1.28371662E-05  
  89               1.84703424E+01   1.21911504E+03   8.38232208E-01   1.60460362E-01   7.08187393E-04   4.63263825E-04   5.43459860E-05   3.28193644E-05   2.42847567E-05   1.28371222E-05  
  90               2.03436691E+01   1.25297114E+03   8.38233779E-01   1.60458346E-01   7.08177888E-04   4.63251772E-04   5.43458812E-05   3.32265555E-05   2.42839406E-05   1.28370974E-05  
  91               2.23933440E+01   1.28729115E+03   8.38235533E-01   1.60455620E-01   7.08149724E-04   4.63211913E-04   5.43460330E-05   3.41717668E-05   2.42828058E-05   1.28371331E-05  
  92               2.46312373E+01   1.32222479E+03   8.38237265E-01   1.60451940E-01   7.08055263E-04   4.63077261E-04   5.43467401E-05   3.62018352E-05   2.42812363E-05   1.28372997E-05  
  93               2.70683831E+01   1.35747808E+03   8.38238627E-01   1.60447133E-01   7.07748152E-04   4.62649639E-04   5.43483820E-05   4.01569401E-05   2.42791151E-05   1.28376858E-05  
  94               2.97163902E+01   1.39324326E+03   8.38239656E-01   1.60441049E-01   7.06842806E-04   4.61426302E-04   5.43511170E-05   4.70051184E-05   2.42762665E-05   1.28383265E-05  
  95               3.26026833E+01   1.42938198E+03   8.38241367E-01   1.60433896E-01   7.04492444E-04   4.58356943E-04   5.43544367E-05   5.73703826E-05   2.42724947E-05   1.28390948E-05  
  96               3.57626371E+01   1.46636042E+03   8.38246407E-01   1.60426075E-01   6.99234647E-04   4.51775429E-04   5.43571125E-05   7.12543551E-05   2.42673562E-05   1.28396820E-05  
  97               3.92328264E+01   1.50397891E+03   8.38257598E-01   1.60418336E-01   6.89366074E-04   4.40093815E-04   5.43579077E-05   8.79804194E-05   2.42599730E-05   1.28397519E-05  
  98               4.30469652E+01   1.54261494E+03   8.38276329E-01   1.60411014E-01   6.74319008E-04   4.23299084E-04   5.43575263E-05   1.06989805E-04   2.42339981E-05   1.28393748E-05  
  99               4.72272874E+01   1.58182050E+03   8.38297807E-01   1.60403560E-01   6.55469783E-04   4.03461141E-04   5.43552877E-05   1.27305097E-04   2.42255271E-05   1.28382297E-05  
  100              5.17753615E+01   1.62168178E+03   8.38321267E-01   1.60396306E-01   6.36458575E-04   3.82046538E-04   5.43579350E-05   1.48797053E-04   2.40967263E-05   1.28377784E-05  
  101              5.66745408E+01   1.66146535E+03   8.38252555E-01   1.60371399E-01   6.16002504E-04   3.61114705E-04   5.43500337E-05   1.69724619E-04   2.40795269E-05   1.28327911E-05  
