# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H               
  85               5.00819480E+02   1.55683312E+03   8.38091640E-01   1.60456597E-01   7.80099226E-04   5.29940880E-04   8.40597651E-05   2.42772217E-05   1.87527465E-05   1.38333652E-06  
  86               5.59408662E+02   1.60366306E+03   8.38091329E-01   1.60456207E-01   7.79858930E-04   5.29476200E-04   8.40482064E-05   2.42728755E-05   1.87651902E-05   2.17522044E-06  
  87               6.23103228E+02   1.65052583E+03   8.38073259E-01   1.60452453E-01   7.79748056E-04   5.28890823E-04   8.40217857E-05   2.42647167E-05   1.87894392E-05   3.33036970E-06  
  88               6.93222257E+02   1.69775747E+03   8.38052120E-01   1.60452046E-01   8.00389588E-04   5.28126458E-04   8.40237302E-05   2.34146408E-05   1.88350357E-05   4.98799979E-06  
  89               7.71314637E+02   1.74620611E+03   8.38050633E-01   1.60451516E-01   7.99780406E-04   5.27280695E-04   8.39848498E-05   2.34352594E-05   1.88661149E-05   7.36996305E-06  
  90               8.59433283E+02   1.79626100E+03   8.38048413E-01   1.60450913E-01   7.98977451E-04   5.26278958E-04   8.40132674E-05   2.34528567E-05   1.88474137E-05   1.07729239E-05  
  91               9.60355833E+02   1.84884731E+03   8.38043919E-01   1.60450020E-01   7.98280630E-04   5.25081847E-04   8.41889260E-05   2.34630484E-05   1.87456747E-05   1.56780833E-05  
  92               1.07807305E+03   1.90476424E+03   8.38036953E-01   1.60448886E-01   7.97771247E-04   5.23655640E-04   8.45616500E-05   2.34681063E-05   1.85466631E-05   2.28007189E-05  
  93               1.21616420E+03   1.96440726E+03   8.38022311E-01   1.60446899E-01   7.98861839E-04   5.21952698E-04   8.51296653E-05   2.34510053E-05   1.82496826E-05   3.31476636E-05  
  94               1.37755059E+03   2.02749658E+03   8.37990599E-01   1.60443236E-01   8.05617064E-04   5.19906971E-04   8.58920521E-05   2.33728607E-05   1.78522130E-05   4.79819395E-05  
  95               1.56475407E+03   2.09346238E+03   8.37916145E-01   1.60435098E-01   8.27373382E-04   5.17353514E-04   8.68416521E-05   2.31583886E-05   1.73554887E-05   6.88220568E-05  
  96               1.77468687E+03   2.16019356E+03   8.37791114E-01   1.60426521E-01   8.89788985E-04   5.13849309E-04   8.79266500E-05   2.26567819E-05   1.67868423E-05   9.67317325E-05  
  97               1.99603732E+03   2.22365258E+03   8.37761209E-01   1.60423429E-01   8.87981674E-04   5.11380441E-04   8.90838764E-05   2.26671223E-05   1.61812217E-05   1.30933884E-04  
  98               2.25549654E+03   2.29124224E+03   8.37713500E-01   1.60418089E-01   8.86142480E-04   5.08673551E-04   9.03871361E-05   2.26711646E-05   1.54954791E-05   1.77142035E-04  
  99               2.51602855E+03   2.35255201E+03   8.37659977E-01   1.60413632E-01   8.89383535E-04   5.06105058E-04   9.16518607E-05   2.26760435E-05   1.48283055E-05   2.29091914E-04  
  100              2.75865053E+03   2.40535612E+03   8.37611244E-01   1.60409118E-01   8.88447938E-04   5.03938961E-04   9.27558891E-05   2.26706195E-05   1.42426821E-05   2.82622944E-04  
  101              3.03923522E+03   2.46127325E+03   8.37511157E-01   1.60396085E-01   8.87619633E-04   5.01653803E-04   9.39741056E-05   2.26602167E-05   1.35917939E-05   3.48958894E-04  
