# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              CO              
  83               3.74142568E+01   1.23869804E+03   8.38140548E-01   1.60449292E-01   7.73945164E-04   5.24739607E-04   4.90301455E-05   2.38258682E-05   2.42831739E-05   2.66497881E-06  
  84               4.17093710E+01   1.27657800E+03   8.38140651E-01   1.60448132E-01   7.73779324E-04   5.24503766E-04   4.90308977E-05   2.38262325E-05   2.42824891E-05   4.05528280E-06  
  85               4.64548325E+01   1.31610906E+03   8.38141251E-01   1.60446700E-01   7.73185924E-04   5.23720366E-04   4.90315614E-05   2.38264705E-05   2.42815066E-05   6.15056618E-06  
  86               5.16817215E+01   1.35525356E+03   8.38143297E-01   1.60445217E-01   7.71575776E-04   5.21771718E-04   4.90317613E-05   2.38261716E-05   2.42802134E-05   8.97273672E-06  
  87               5.74199842E+01   1.39569536E+03   8.38147494E-01   1.60443552E-01   7.68390675E-04   5.18234614E-04   4.90316015E-05   2.38246397E-05   2.42784092E-05   1.28870138E-05  
  88               6.37219449E+01   1.43587506E+03   8.38153497E-01   1.60441710E-01   7.63752373E-04   5.13353138E-04   4.90316302E-05   2.38198951E-05   2.42759663E-05   1.78343620E-05  
  89               7.06716372E+01   1.47742426E+03   8.38161365E-01   1.60439407E-01   7.57537619E-04   5.06915294E-04   4.90327507E-05   2.38063702E-05   2.42723731E-05   2.42779067E-05  
  90               7.83392956E+01   1.51908107E+03   8.38170664E-01   1.60436705E-01   7.50004480E-04   4.99144744E-04   4.90370103E-05   2.37716028E-05   2.42669744E-05   3.20204102E-05  
  91               8.67714123E+01   1.56193386E+03   8.38181659E-01   1.60433422E-01   7.40835229E-04   4.89655281E-04   4.90482297E-05   2.36935739E-05   2.42577826E-05   4.14654959E-05  
  92               9.59832197E+01   1.60464304E+03   8.38192298E-01   1.60429485E-01   7.30548047E-04   4.78951402E-04   4.90734078E-05   2.35594993E-05   2.42409467E-05   5.21078271E-05  
  93               1.05959214E+02   1.64786009E+03   8.38204180E-01   1.60425311E-01   7.20383548E-04   4.66732747E-04   4.91080680E-05   2.33833069E-05   2.41475886E-05   6.42475969E-05  
  94               1.16628966E+02   1.69026968E+03   8.38201223E-01   1.60417814E-01   7.07961156E-04   4.54009260E-04   4.91599738E-05   2.32496540E-05   2.41367232E-05   7.68640808E-05  
  95               1.27960836E+02   1.73239725E+03   8.38197788E-01   1.60412480E-01   7.12549879E-04   4.38742396E-04   4.91784694E-05   2.31656458E-05   2.32957422E-05   9.20113643E-05  
  96               1.39933828E+02   1.77354141E+03   8.38209212E-01   1.60407565E-01   6.99496648E-04   4.25135350E-04   4.91631644E-05   2.31561229E-05   2.32861722E-05   1.05479447E-04  
  97               1.52403748E+02   1.81369072E+03   8.38217636E-01   1.60402409E-01   6.87148215E-04   4.11589497E-04   4.91200928E-05   2.31921419E-05   2.32651141E-05   1.18863581E-04  
  98               1.65809815E+02   1.85390762E+03   8.38220140E-01   1.60396586E-01   6.76291219E-04   3.97904177E-04   4.90463009E-05   2.32809407E-05   2.32206375E-05   1.32357459E-04  
  99               1.79591320E+02   1.89262812E+03   8.38214544E-01   1.60390212E-01   6.68973893E-04   3.84437879E-04   4.89505079E-05   2.34080145E-05   2.31335974E-05   1.45609168E-04  
  100              1.93396450E+02   1.92917994E+03   8.38195920E-01   1.60382700E-01   6.67265853E-04   3.71085235E-04   4.88408499E-05   2.35594996E-05   2.29822111E-05   1.58729052E-04  
  101              2.08346188E+02   1.96627835E+03   8.38103201E-01   1.60362519E-01   6.73747011E-04   3.56458343E-04   4.87030026E-05   2.37526550E-05   2.27295941E-05   1.73055484E-04  
