# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  87               3.12966949E+02   1.67106052E+03   8.38101692E-01   1.60444536E-01   7.71514870E-04   5.20071943E-04   5.41235113E-05   3.37757458E-05   2.42405161E-05   5.75080647E-06  
  88               3.50218227E+02   1.72155774E+03   8.38083030E-01   1.60443131E-01   7.89439047E-04   5.16555262E-04   5.39030426E-05   3.38767342E-05   2.34028737E-05   8.75402561E-06  
  89               3.90946620E+02   1.77245922E+03   8.38083001E-01   1.60441454E-01   7.86025847E-04   5.12818435E-04   5.38325258E-05   3.39015106E-05   2.34153802E-05   1.30355041E-05  
  90               4.35253484E+02   1.82290666E+03   8.38082050E-01   1.60439631E-01   7.82399735E-04   5.08707728E-04   5.39433255E-05   3.38327448E-05   2.34227214E-05   1.88883398E-05  
  91               4.83230518E+02   1.87340605E+03   8.38077730E-01   1.60437290E-01   7.79000239E-04   5.04166837E-04   5.41675711E-05   3.37036944E-05   2.34188873E-05   2.68080488E-05  
  92               5.34349388E+02   1.92268001E+03   8.38068165E-01   1.60434439E-01   7.77116787E-04   4.99387778E-04   5.45299822E-05   3.35023328E-05   2.33926714E-05   3.70044799E-05  
  93               5.88187056E+02   1.97087077E+03   8.38047671E-01   1.60430441E-01   7.79012562E-04   4.94258504E-04   5.49712124E-05   3.32578867E-05   2.33213110E-05   4.98849949E-05  
  94               6.47659825E+02   2.01991586E+03   8.38005102E-01   1.60424069E-01   7.89056836E-04   4.88423103E-04   5.55346732E-05   3.29472205E-05   2.31644092E-05   6.65300728E-05  
  95               7.11773809E+02   2.06898309E+03   8.37934194E-01   1.60415269E-01   8.12989945E-04   4.81549799E-04   5.61796419E-05   3.25909031E-05   2.28856484E-05   8.74436432E-05  
  96               7.80067261E+02   2.11732085E+03   8.37850383E-01   1.60406938E-01   8.50177003E-04   4.73684459E-04   5.69076637E-05   3.21899418E-05   2.25289122E-05   1.12917755E-04  
  97               8.59448009E+02   2.16936933E+03   8.37819870E-01   1.60401522E-01   8.44795734E-04   4.67708964E-04   5.77824900E-05   3.17083415E-05   2.25262313E-05   1.46652000E-04  
  98               9.40673674E+02   2.21862594E+03   8.37789966E-01   1.60397033E-01   8.39922447E-04   4.62172679E-04   5.86928534E-05   3.12067267E-05   2.25191686E-05   1.85485252E-04  
  99               1.01729411E+03   2.26187079E+03   8.37757637E-01   1.60392641E-01   8.35876283E-04   4.57454940E-04   5.95578182E-05   3.07293952E-05   2.25093798E-05   2.25834837E-04  
  100              1.10729021E+03   2.30953175E+03   8.37712652E-01   1.60386875E-01   8.31651083E-04   4.52378914E-04   6.05562913E-05   3.01759451E-05   2.24946305E-05   2.77943156E-04  
  101              1.21249642E+03   2.36093973E+03   8.37611537E-01   1.60372908E-01   8.32167393E-04   4.46812759E-04   6.17219360E-05   2.95272319E-05   2.24809432E-05   3.43950175E-04  
