# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  79               1.14742677E+01   1.06746461E+03   8.38173090E-01   1.60454368E-01   7.55538127E-04   5.07829473E-04   5.43382628E-05   5.96514746E-06   2.42847674E-05   1.30002541E-05  
  80               1.28266082E+01   1.10190732E+03   8.38173727E-01   1.60453656E-01   7.55536204E-04   5.07827971E-04   5.43381393E-05   6.03641761E-06   2.42845701E-05   1.30002228E-05  
  81               1.43213410E+01   1.13719691E+03   8.38174382E-01   1.60452774E-01   7.55534064E-04   5.07825314E-04   5.43381027E-05   6.25551911E-06   2.42842920E-05   1.30002122E-05  
  82               1.59737308E+01   1.17284015E+03   8.38174946E-01   1.60451601E-01   7.55528552E-04   5.07815151E-04   5.43383648E-05   6.85886297E-06   2.42838901E-05   1.30002730E-05  
  83               1.78041050E+01   1.20943129E+03   8.38175244E-01   1.60449906E-01   7.55497099E-04   5.07763435E-04   5.43393089E-05   8.30179161E-06   2.42832868E-05   1.30004964E-05  
  84               1.98324114E+01   1.24653800E+03   8.38175097E-01   1.60447488E-01   7.55329515E-04   5.07521175E-04   5.43413161E-05   1.12133715E-05   2.42824029E-05   1.30009719E-05  
  85               2.20791951E+01   1.28460146E+03   8.38175031E-01   1.60444166E-01   7.54619458E-04   5.06573163E-04   5.43441092E-05   1.61532048E-05   2.42811304E-05   1.30016255E-05  
  86               2.45681057E+01   1.32324531E+03   8.38177028E-01   1.60440126E-01   7.52241668E-04   5.03598603E-04   5.43461294E-05   2.33823181E-05   2.42794049E-05   1.30020548E-05  
  87               2.73285202E+01   1.36289968E+03   8.38184318E-01   1.60435681E-01   7.46238420E-04   4.96633124E-04   5.43460242E-05   3.32413464E-05   2.42771154E-05   1.30018275E-05  
  88               3.03945011E+01   1.40329965E+03   8.38198451E-01   1.60431027E-01   7.35360854E-04   4.84997761E-04   5.43443034E-05   4.58673109E-05   2.42740763E-05   1.30006943E-05  
  89               3.38196710E+01   1.44497487E+03   8.38218048E-01   1.60425699E-01   7.20238641E-04   4.69488769E-04   5.43420552E-05   6.15774589E-05   2.42697567E-05   1.29977504E-05  
  90               3.76559678E+01   1.48779641E+03   8.38241513E-01   1.60419508E-01   7.01918842E-04   4.50884778E-04   5.43399524E-05   8.01838545E-05   2.42631770E-05   1.29898598E-05  
  91               4.19429527E+01   1.53186772E+03   8.38267862E-01   1.60412437E-01   6.80984793E-04   4.29587599E-04   5.43385774E-05   1.01430208E-04   2.42518556E-05   1.29693091E-05  
