# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  92               6.80767948E+01   2.19058783E+03   8.37974142E-01   1.60212529E-01   4.19516094E-04   4.19893538E-05   4.86880434E-04   5.88840646E-04   5.73857148E-05   2.07542446E-05  
  93               7.08139334E+01   2.21225415E+03   8.37917424E-01   1.60207001E-01   4.18110831E-04   4.05174727E-05   4.88244025E-04   6.52480835E-04   5.73358527E-05   2.07248049E-05  
  94               7.39139115E+01   2.23518238E+03   8.37852284E-01   1.60200802E-01   4.16838971E-04   3.91695318E-05   4.89469403E-04   7.25074968E-04   5.72763182E-05   2.06925545E-05  
  95               7.74141474E+01   2.26073161E+03   8.37772533E-01   1.60193291E-01   4.15473833E-04   3.77162590E-05   4.90780255E-04   8.13687088E-04   5.72108599E-05   2.06531827E-05  
  96               8.13544522E+01   2.28765852E+03   8.37680539E-01   1.60184782E-01   4.14253678E-04   3.63949291E-05   4.91940214E-04   9.15393225E-04   5.71344756E-05   2.06095946E-05  
  97               8.57782963E+01   2.31702666E+03   8.37567711E-01   1.60174246E-01   4.13016682E-04   3.50417184E-05   4.93106136E-04   1.03761428E-03   5.70496939E-05   2.05578404E-05  
  98               9.07313028E+01   2.34789232E+03   8.37431844E-01   1.60162368E-01   4.17442935E-04   3.33971122E-05   4.94568327E-04   1.17863865E-03   5.69591614E-05   2.05279925E-05  
  99               9.62653823E+01   2.38083517E+03   8.37280033E-01   1.60148747E-01   4.16538878E-04   3.22190037E-05   4.95508335E-04   1.34492915E-03   5.68518543E-05   2.04619083E-05  
  100              1.02436566E+02   2.41546758E+03   8.37103466E-01   1.60133028E-01   4.15753909E-04   3.11436096E-05   4.96312870E-04   1.53795858E-03   5.67313730E-05   2.03876528E-05  
  101              1.09308295E+02   2.45159218E+03   8.36899909E-01   1.60115026E-01   4.15112824E-04   3.01931101E-05   4.96956001E-04   1.76012024E-03   5.65961608E-05   2.03053173E-05  
