# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  91               1.01889686E+02   2.60925618E+03   8.35241966E-01   1.59963322E-01   3.58643655E-03   3.99402646E-04   5.12208095E-04   1.44974493E-05   5.72154075E-05   1.94845349E-05  
  92               1.12217413E+02   2.66740646E+03   8.34586081E-01   1.59906199E-01   4.29953138E-03   3.99342774E-04   5.12066087E-04   1.40581833E-05   5.70018849E-05   1.92680308E-05  
  93               1.23929825E+02   2.72705170E+03   8.33825746E-01   1.59840067E-01   5.12588701E-03   3.99486899E-04   5.11695492E-04   1.37521736E-05   5.67584937E-05   1.90353009E-05  
  94               1.37217319E+02   2.78946797E+03   8.32925097E-01   1.59761777E-01   6.10457014E-03   3.99788741E-04   5.11142067E-04   1.35105243E-05   5.64839110E-05   1.87791038E-05  
  95               1.52297200E+02   2.85306530E+03   8.31899092E-01   1.59672670E-01   7.21917408E-03   4.00342388E-04   5.10332397E-04   1.33989032E-05   5.61718257E-05   1.85109126E-05  
  96               1.69416210E+02   2.91941628E+03   8.30699545E-01   1.59568521E-01   8.52215821E-03   4.01104082E-04   5.09308821E-04   1.33435708E-05   5.58198895E-05   1.82214334E-05  
  97               1.88854218E+02   2.98664773E+03   8.29357319E-01   1.59452061E-01   9.97980512E-03   4.02179972E-04   5.07992601E-04   1.34159965E-05   5.54205322E-05   1.79258519E-05  
  98               2.10925063E+02   3.05656129E+03   8.27810930E-01   1.59317909E-01   1.16590238E-02   4.03529432E-04   5.06418591E-04   1.35402844E-05   5.49691589E-05   1.76127342E-05  
  99               2.35936994E+02   3.12684092E+03   8.26118298E-01   1.59171156E-01   1.34966664E-02   4.05262206E-04   5.04506209E-04   1.37949549E-05   5.44569949E-05   1.73014482E-05  
  100              2.64212394E+02   3.19939493E+03   8.24206984E-01   1.59005461E-01   1.55715621E-02   4.07325822E-04   5.02288519E-04   1.40993656E-05   5.38760347E-05   1.69784109E-05  
  101              2.96098547E+02   3.27183413E+03   8.22158541E-01   1.58827974E-01   1.77948830E-02   4.09813649E-04   4.99690014E-04   1.45310383E-05   5.32142207E-05   1.66639784E-05  
