# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  85               4.43651144E+00   2.21719796E+03   8.36115795E-01   1.60029869E-01   2.67683867E-03   5.29596841E-04   3.75670962E-04   6.04717534E-05   6.45432204E-05   1.85627740E-05  
  86               4.74847973E+00   2.25132762E+03   8.35708932E-01   1.59994387E-01   3.11942226E-03   5.29482915E-04   3.75489312E-04   6.04512805E-05   6.44203051E-05   1.83364123E-05  
  87               5.09058432E+00   2.28873018E+03   8.35198592E-01   1.59949881E-01   3.67456769E-03   5.29339340E-04   3.75270559E-04   6.04271389E-05   6.42844267E-05   1.80656964E-05  
  88               5.46523278E+00   2.32480535E+03   8.34649864E-01   1.59901826E-01   4.26930857E-03   5.29180170E-04   3.75048421E-04   6.04003455E-05   6.41424564E-05   1.77953031E-05  
  89               5.87554456E+00   2.36354581E+03   8.33975049E-01   1.59843479E-01   4.99391390E-03   5.28990152E-04   3.81353780E-04   6.03698183E-05   6.39871208E-05   1.75132382E-05  
  90               6.32517189E+00   2.40134007E+03   8.33256340E-01   1.59780812E-01   5.77562922E-03   5.28778960E-04   3.81144761E-04   6.03355964E-05   6.38243685E-05   1.72008092E-05  
  91               6.81798152E+00   2.44118954E+03   8.32405576E-01   1.59706632E-01   6.70099909E-03   5.28528592E-04   3.80882702E-04   6.02961755E-05   6.36477237E-05   1.68543312E-05  
  92               7.35813221E+00   2.48052488E+03   8.31481481E-01   1.59626061E-01   7.70613875E-03   5.28254243E-04   3.80590691E-04   6.02528098E-05   6.34617896E-05   1.65065028E-05  
  93               7.95063890E+00   2.52125385E+03   8.30419907E-01   1.59533506E-01   8.86082458E-03   5.27938540E-04   3.80248014E-04   6.02036455E-05   6.32618255E-05   1.61349149E-05  
  94               8.60084870E+00   2.56201364E+03   8.29256381E-01   1.59432066E-01   1.01264057E-02   5.27590825E-04   3.79869078E-04   6.01493956E-05   6.30502659E-05   1.57593158E-05  
  95               9.31492812E+00   2.60346027E+03   8.27960825E-01   1.59319118E-01   1.15355966E-02   5.27202660E-04   3.79444753E-04   6.00889875E-05   6.28249399E-05   1.53730383E-05  
  96               1.00997337E+01   2.64502861E+03   8.26550432E-01   1.59196162E-01   1.30696909E-02   5.26778538E-04   3.78982881E-04   6.00226217E-05   6.25867030E-05   1.49862271E-05  
  97               1.09629551E+01   2.68716681E+03   8.25000503E-01   1.59061046E-01   1.47555489E-02   5.26311346E-04   3.78476111E-04   5.99492437E-05   6.23337825E-05   1.45947500E-05  
  98               1.19131449E+01   2.72951494E+03   8.23324275E-01   1.58914924E-01   1.65787687E-02   5.25804465E-04   3.77930896E-04   5.98688320E-05   6.20666435E-05   1.42059604E-05  
  99               1.29599411E+01   2.77212967E+03   8.21517152E-01   1.58757395E-01   1.85443437E-02   5.25256280E-04   3.77347318E-04   5.97807463E-05   6.17846307E-05   1.38211271E-05  
  100              1.41139951E+01   2.81534163E+03   8.19556462E-01   1.58586485E-01   2.06769291E-02   5.24660027E-04   3.76719030E-04   5.96836263E-05   6.14861637E-05   1.34372559E-05  
  101              1.53873857E+01   2.85837425E+03   8.17491962E-01   1.58406532E-01   2.29223947E-02   5.24029266E-04   3.76066220E-04   5.95782508E-05   6.11733860E-05   1.30675429E-05  
