# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  85               2.26126620E+01   2.66398233E+03   8.29898923E-01   1.59488914E-01   9.42517101E-03   5.26963828E-04   3.81140697E-04   5.97151905E-05   6.09367242E-05   6.12954754E-07  
  86               2.47861417E+01   2.71501508E+03   8.28520117E-01   1.59368755E-01   1.09247243E-02   5.26512730E-04   3.80792995E-04   5.96203055E-05   6.05641965E-05   6.08101650E-07  
  87               2.71969643E+01   2.76630875E+03   8.27000036E-01   1.59236290E-01   1.25778965E-02   5.26008055E-04   3.80424580E-04   5.95143817E-05   6.01708841E-05   6.08061115E-07  
  88               2.98699253E+01   2.81845814E+03   8.25307651E-01   1.59088817E-01   1.44184275E-02   5.25441329E-04   3.80029659E-04   5.93956829E-05   5.97545300E-05   6.11225791E-07  
  89               3.28319842E+01   2.87059410E+03   8.23475635E-01   1.58929184E-01   1.64107665E-02   5.24819155E-04   3.79626141E-04   5.92637578E-05   5.93175370E-05   6.19222464E-07  
  90               3.61120720E+01   2.92365665E+03   8.21454015E-01   1.58753036E-01   1.86092563E-02   5.24127806E-04   3.79202442E-04   5.91156606E-05   5.88566585E-05   6.29905794E-07  
  91               3.97417717E+01   2.97633693E+03   8.19309909E-01   1.58566228E-01   2.09408766E-02   5.23382589E-04   3.78788346E-04   5.89512235E-05   5.83763177E-05   6.45849521E-07  
  92               4.37547233E+01   3.03012320E+03   8.16956463E-01   1.58361186E-01   2.35000854E-02   5.22559662E-04   3.78360210E-04   5.87649641E-05   5.78713854E-05   6.63943641E-07  
  93               4.81847384E+01   3.08303984E+03   8.14517600E-01   1.58148718E-01   2.61520767E-02   5.21689158E-04   3.77965489E-04   5.85574502E-05   5.73495594E-05   6.88102117E-07  
  94               5.30650033E+01   3.13723219E+03   8.11851130E-01   1.57916426E-01   2.90514924E-02   5.20732279E-04   3.77561144E-04   5.83186365E-05   5.68035128E-05   7.13832689E-07  
  95               5.84319577E+01   3.18998778E+03   8.09156463E-01   1.57681698E-01   3.19814264E-02   5.19739094E-04   3.77216372E-04   5.80504506E-05   5.62446374E-05   7.46682800E-07  
  96               6.43233918E+01   3.24441074E+03   8.06200224E-01   1.57424184E-01   3.51956945E-02   5.18645802E-04   3.76856272E-04   5.77336209E-05   5.56614433E-05   7.80183586E-07  
  97               7.07802103E+01   3.29691951E+03   8.03279952E-01   1.57169829E-01   3.83706669E-02   5.17528437E-04   3.76578091E-04   5.73730743E-05   5.50695827E-05   8.22007646E-07  
  98               7.78536107E+01   3.34968386E+03   8.00229047E-01   1.56904104E-01   4.16875296E-02   5.16339557E-04   3.76326342E-04   5.69465061E-05   5.44607544E-05   8.67884201E-07  
  99               8.55919058E+01   3.40234786E+03   7.97085277E-01   1.56630302E-01   4.51051853E-02   5.15085760E-04   3.76109761E-04   5.64389852E-05   5.38374216E-05   9.18787547E-07  
  100              9.40485210E+01   3.45517722E+03   7.93830547E-01   1.56346842E-01   4.86432977E-02   5.13758316E-04   3.75916707E-04   5.58267604E-05   5.31993245E-05   9.74373622E-07  
  101              1.03283542E+02   3.50773147E+03   7.90517571E-01   1.56058319E-01   5.22445149E-02   5.12366886E-04   3.75758015E-04   5.50882098E-05   5.25492025E-05   1.03608695E-06  
