# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  88               4.46765148E+02   2.27817378E+03   8.37833849E-01   1.60326997E-01   6.87778538E-04   3.07865743E-04   3.71654944E-04   2.18044972E-04   4.47229248E-05   3.09190026E-05  
  89               4.76568972E+02   2.31435149E+03   8.37748917E-01   1.60313578E-01   6.82018633E-04   3.01459341E-04   4.34270639E-04   2.23761940E-04   4.43961869E-05   3.14329467E-05  
  90               5.11343200E+02   2.35511662E+03   8.37676487E-01   1.60305021E-01   6.80250769E-04   2.93601261E-04   5.14671105E-04   2.30813418E-04   4.40320396E-05   3.20035075E-05  
  91               5.40862856E+02   2.38690634E+03   8.37617268E-01   1.60298198E-01   6.76353287E-04   2.88861066E-04   5.84400181E-04   2.34857968E-04   4.37079199E-05   3.25206182E-05  
  92               5.65004449E+02   2.41286427E+03   8.37563852E-01   1.60292120E-01   6.73047432E-04   2.84832613E-04   6.47053430E-04   2.38281095E-04   4.34578063E-05   3.29081660E-05  
  93               5.93754187E+02   2.44141392E+03   8.37499499E-01   1.60285266E-01   6.70109237E-04   2.81063506E-04   7.21004424E-04   2.41343231E-04   4.31462034E-05   3.34042822E-05  
  94               6.27863299E+02   2.47481348E+03   8.37416410E-01   1.60276545E-01   6.66644220E-04   2.76575607E-04   8.16076634E-04   2.44948821E-04   4.27923632E-05   3.39559399E-05  
  95               6.68165891E+02   2.51108435E+03   8.37316394E-01   1.60266618E-01   6.63754202E-04   2.72508109E-04   9.28651358E-04   2.47985347E-04   4.23629880E-05   3.46394883E-05  
  96               7.15606523E+02   2.55238307E+03   8.37189115E-01   1.60254208E-01   6.60630448E-04   2.67954474E-04   1.07118689E-03   2.51271837E-04   4.18760239E-05   3.54033081E-05  
  97               7.71236052E+02   2.59652406E+03   8.37037183E-01   1.60240045E-01   6.58369683E-04   2.64047712E-04   1.23919978E-03   2.53704561E-04   4.12989584E-05   3.63239277E-05  
  98               8.36204327E+02   2.64552399E+03   8.36847450E-01   1.60222637E-01   6.56237691E-04   2.59937513E-04   1.44810164E-03   2.56031891E-04   4.06494136E-05   3.73494729E-05  
  99               9.11737432E+02   2.69694062E+03   8.36624757E-01   1.60202883E-01   6.55280995E-04   2.56710000E-04   1.69105374E-03   2.57206803E-04   3.98977989E-05   3.85536066E-05  
  100              9.99093447E+02   2.75261036E+03   8.36353617E-01   1.60179104E-01   6.54809812E-04   2.53542588E-04   1.98595050E-03   2.57939974E-04   3.90636427E-05   3.98804400E-05  
  101              1.09956622E+03   2.81076480E+03   8.36037012E-01   1.60151845E-01   6.55456636E-04   2.51078467E-04   2.32859901E-03   2.57608383E-04   3.81314425E-05   4.13717490E-05  
