# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  88               1.51186758E+01   1.86600660E+03   8.38458936E-01   1.60247784E-01   3.96589142E-04   5.10479330E-04   1.97977796E-05   5.95294858E-05   1.43105730E-04   2.05205820E-05  
  89               1.59113649E+01   1.89132265E+03   8.38426984E-01   1.60243294E-01   3.94945470E-04   5.12075064E-04   1.81691521E-05   5.95356182E-05   1.69581701E-04   2.05185143E-05  
  90               1.67696375E+01   1.91690306E+03   8.38400656E-01   1.60240408E-01   3.93525304E-04   5.13453698E-04   1.67610995E-05   5.95160962E-05   2.00190047E-04   2.05141961E-05  
  91               1.77082531E+01   1.94434350E+03   8.38367561E-01   1.60236945E-01   3.92144678E-04   5.14788939E-04   1.53923542E-05   5.94992548E-05   2.38095269E-04   2.05053826E-05  
  92               1.87382402E+01   1.97261857E+03   8.38327821E-01   1.60232973E-01   3.90924412E-04   5.15961461E-04   1.41821140E-05   5.94799526E-05   2.82983917E-04   2.04923921E-05  
  93               1.95744736E+01   1.99504559E+03   8.38260201E-01   1.60223438E-01   3.90039766E-04   5.16784425E-04   1.33076893E-05   5.94670661E-05   3.23419516E-04   2.04777842E-05  
  94               2.02052657E+01   2.01113386E+03   8.38231719E-01   1.60220743E-01   3.89469188E-04   5.17320373E-04   1.27476205E-05   5.94534456E-05   3.55137741E-04   2.04661191E-05  
  95               2.09033239E+01   2.02880475E+03   8.38197626E-01   1.60217531E-01   3.88904528E-04   5.17878419E-04   1.21615481E-05   5.94414490E-05   3.92961069E-04   2.04513812E-05  
  96               2.16731014E+01   2.04746837E+03   8.38158490E-01   1.60213890E-01   3.88333238E-04   5.18406300E-04   1.16025520E-05   5.94271597E-05   4.36275478E-04   2.04336196E-05  
  97               2.25188516E+01   2.06757238E+03   8.38112251E-01   1.60209632E-01   3.87793028E-04   5.18934467E-04   1.10391038E-05   5.94112717E-05   4.87262953E-04   2.04119563E-05  
  98               2.34493641E+01   2.08884651E+03   8.38058678E-01   1.60204746E-01   3.87239300E-04   5.19434061E-04   1.04995949E-05   5.93915987E-05   5.46261963E-04   2.03859201E-05  
  99               2.41467741E+01   2.10439786E+03   8.38016208E-01   1.60200898E-01   3.86861807E-04   5.19770737E-04   1.01325376E-05   5.93809734E-05   5.92942720E-04   2.03648574E-05  
  100              2.46541813E+01   2.11547424E+03   8.37984196E-01   1.60198010E-01   3.86607126E-04   5.19995106E-04   9.88545873E-06   5.93695430E-05   6.28092095E-04   2.03488275E-05  
  101              2.52228966E+01   2.12761041E+03   8.37945413E-01   1.60194324E-01   3.86341883E-04   5.20224256E-04   9.62932080E-06   5.93580716E-05   6.68457377E-04   2.03302715E-05  
