# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                H2S             
  83               3.30138240E+01   1.68092489E+03   8.38486910E-01   1.60340845E-01   4.99421711E-04   2.24697532E-04   3.05822917E-04   7.25186761E-06   1.94810448E-05   2.28670536E-05  
  84               3.70955965E+01   1.73386984E+03   8.38508616E-01   1.60330921E-01   4.74256566E-04   1.97799622E-04   3.32578472E-04   7.21379969E-06   3.00935093E-05   2.27958309E-05  
  85               4.13602396E+01   1.78441872E+03   8.38511731E-01   1.60320774E-01   4.57044417E-04   1.74655766E-04   3.55568222E-04   7.20858227E-06   4.44265736E-05   2.26507137E-05  
  86               4.57099590E+01   1.83191719E+03   8.38489263E-01   1.60309309E-01   4.52147219E-04   1.53612357E-04   3.76453480E-04   7.22745010E-06   6.27398020E-05   2.23405836E-05  
  87               4.99756223E+01   1.87507666E+03   8.38430275E-01   1.60294881E-01   4.63912870E-04   1.33736614E-04   3.96180725E-04   7.26405856E-06   8.44645191E-05   2.18327293E-05  
  88               5.38339005E+01   1.91166870E+03   8.38361054E-01   1.60282612E-01   4.92411973E-04   1.15721092E-04   4.14091614E-04   7.30814928E-06   1.07464207E-04   2.12300666E-05  
  89               5.71312638E+01   1.94126250E+03   8.38350233E-01   1.60278521E-01   4.85154266E-04   1.08362388E-04   4.21342638E-04   7.35320003E-06   1.29638398E-04   2.12094160E-05  
  90               6.07725889E+01   1.97243668E+03   8.38334236E-01   1.60274132E-01   4.78241328E-04   1.01339719E-04   4.28244409E-04   7.40783624E-06   1.56935159E-04   2.11868265E-05  
  91               6.47830543E+01   2.00500021E+03   8.38300694E-01   1.60267231E-01   4.71773403E-04   9.47570288E-05   4.34684697E-04   7.47419679E-06   1.90276836E-04   2.11618707E-05  
  92               6.80459211E+01   2.03035932E+03   8.38279288E-01   1.60263405E-01   4.67201960E-04   9.00870759E-05   4.39242740E-04   7.53093018E-06   2.20065284E-04   2.11414982E-05  
  93               7.05308734E+01   2.04896920E+03   8.38261117E-01   1.60260485E-01   4.64110653E-04   8.69123788E-05   4.42331256E-04   7.57647613E-06   2.44231041E-04   2.11259545E-05  
  94               7.33459641E+01   2.06946972E+03   8.38238588E-01   1.60257142E-01   4.60901349E-04   8.36230261E-05   4.45521645E-04   7.62895930E-06   2.73301150E-04   2.11079073E-05  
  95               7.65263973E+01   2.09179618E+03   8.38210846E-01   1.60253336E-01   4.57679300E-04   8.02997457E-05   4.48731936E-04   7.69077415E-06   3.08042927E-04   2.10873840E-05  
  96               8.01029389E+01   2.11608080E+03   8.38176674E-01   1.60248959E-01   4.54434067E-04   7.69356802E-05   4.51966883E-04   7.76127333E-06   3.49786340E-04   2.10636492E-05  
  97               8.41009278E+01   2.14214801E+03   8.38104981E-01   1.60238213E-01   4.51265350E-04   7.36123823E-05   4.55124859E-04   7.84215892E-06   3.99468722E-04   2.10359646E-05  
  98               8.71151210E+01   2.16119567E+03   8.38071199E-01   1.60234389E-01   4.49087337E-04   7.13466036E-05   4.57278623E-04   7.90346630E-06   4.39243768E-04   2.10148356E-05  
  99               8.93366364E+01   2.17485028E+03   8.38045171E-01   1.60231499E-01   4.47622404E-04   6.98167301E-05   4.58725082E-04   7.94977335E-06   4.69619276E-04   2.09991216E-05  
  100              9.18907368E+01   2.19025892E+03   8.38013871E-01   1.60228100E-01   4.46040664E-04   6.81596842E-05   4.60285138E-04   8.00290676E-06   5.05891074E-04   2.09806470E-05  
  101              9.48181723E+01   2.20742655E+03   8.37974540E-01   1.60223768E-01   4.44386610E-04   6.64196809E-05   4.61911797E-04   8.06498669E-06   5.48836566E-04   2.09592490E-05  
