# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  83               5.31641635E+01   2.24048914E+03   8.37735103E-01   1.60182174E-01   8.80053640E-04   3.98575834E-04   2.13563709E-05   5.07725036E-04   5.82159542E-05   2.04505464E-05  
  84               5.67656236E+01   2.27695117E+03   8.37593278E-01   1.60169375E-01   1.03578528E-03   3.97452786E-04   2.01775852E-05   5.08747302E-04   5.81450152E-05   2.03826762E-05  
  85               6.09165944E+01   2.31628546E+03   8.37417136E-01   1.60153430E-01   1.22651658E-03   3.96432923E-04   1.90899546E-05   5.09648180E-04   5.80614125E-05   2.03016582E-05  
  86               6.56804538E+01   2.35902936E+03   8.37192327E-01   1.60133943E-01   1.46363401E-03   4.01299336E-04   1.77990796E-05   5.10740843E-04   5.79710733E-05   2.02343109E-05  
  87               7.11284913E+01   2.40435362E+03   8.36928813E-01   1.60110700E-01   1.75101778E-03   4.00636129E-04   1.68881788E-05   5.11394438E-04   5.78601574E-05   2.01201101E-05  
  88               7.73403734E+01   2.45288235E+03   8.36604402E-01   1.60082194E-01   2.10449696E-03   4.00051535E-04   1.60475710E-05   5.11929643E-04   5.77336424E-05   1.99850635E-05  
  89               8.44041024E+01   2.50360804E+03   8.36216163E-01   1.60048203E-01   2.52715565E-03   3.99612761E-04   1.53401467E-05   5.12278495E-04   5.75878891E-05   1.98317496E-05  
  90               9.24211454E+01   2.55729400E+03   8.35744491E-01   1.60006995E-01   3.04038217E-03   3.99271513E-04   1.47077887E-05   5.12487101E-04   5.74226999E-05   1.96551873E-05  
  91               1.01512351E+02   2.61278304E+03   8.35188986E-01   1.59958565E-01   3.64450308E-03   3.99099613E-04   1.42100302E-05   5.12489705E-04   5.72336558E-05   1.94603608E-05  
  92               1.11818478E+02   2.67110100E+03   8.34522622E-01   1.59900533E-01   4.36897905E-03   3.99048402E-04   1.37823941E-05   5.12333917E-04   5.70201043E-05   1.92412788E-05  
  93               1.23503960E+02   2.73090279E+03   8.33750464E-01   1.59833375E-01   5.20818157E-03   3.99198797E-04   1.34854682E-05   5.11951891E-04   5.67767261E-05   1.90059574E-05  
  94               1.36758132E+02   2.79346165E+03   8.32836326E-01   1.59753912E-01   6.20152298E-03   3.99505920E-04   1.32518625E-05   5.11387868E-04   5.65021527E-05   1.87471532E-05  
  95               1.51796727E+02   2.85718871E+03   8.31795479E-01   1.59663513E-01   7.33225957E-03   4.00062406E-04   1.31457235E-05   5.10570090E-04   5.61901206E-05   1.84764438E-05  
  96               1.68864271E+02   2.92365211E+03   8.30579376E-01   1.59557922E-01   8.65324303E-03   4.00825805E-04   1.30948948E-05   5.09539355E-04   5.58382218E-05   1.81845230E-05  
  97               1.88237569E+02   2.99097757E+03   8.29219488E-01   1.59439923E-01   1.01300948E-02   4.01900584E-04   1.31692872E-05   5.08218773E-04   5.54389367E-05   1.78866920E-05  
  98               2.10225094E+02   3.06095706E+03   8.27654054E-01   1.59304110E-01   1.18300235E-02   4.03246964E-04   1.32945729E-05   5.06641870E-04   5.49875951E-05   1.75715085E-05  
  99               2.35127179E+02   3.13126579E+03   8.25942202E-01   1.59155679E-01   1.36885726E-02   4.04972355E-04   1.35475887E-05   5.04730445E-04   5.44755073E-05   1.72584819E-05  
  100              2.63259570E+02   3.20380857E+03   8.24011140E-01   1.58988259E-01   1.57849524E-02   4.07024647E-04   1.38492753E-05   5.02516314E-04   5.38944651E-05   1.69339712E-05  
  101              2.94961915E+02   3.27619751E+03   8.21943643E-01   1.58809105E-01   1.80290099E-02   4.09494843E-04   1.42755655E-05   4.99926275E-04   5.32323649E-05   1.66183985E-05  
