# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H                H2S             
  82               2.89344042E+01   1.43521319E+03   8.38231723E-01   1.60422202E-01   4.59742148E-04   7.10411636E-04   1.23367097E-05   7.13842383E-05   1.32145641E-06   2.42694606E-05  
  83               3.26504524E+01   1.48364455E+03   8.38262766E-01   1.60414229E-01   4.35426522E-04   6.86379580E-04   1.19628542E-05   9.56372993E-05   2.29965793E-06   2.42617427E-05  
  84               3.68149955E+01   1.53331192E+03   8.38297034E-01   1.60405150E-01   4.07917463E-04   6.59289398E-04   1.16592565E-05   1.23067137E-04   3.90846133E-06   2.42474065E-05  
  85               4.14618704E+01   1.58357255E+03   8.38331332E-01   1.60395385E-01   3.78886966E-04   6.31023851E-04   1.14336635E-05   1.52000669E-04   6.44969210E-06   2.42154048E-05  
  86               4.65941042E+01   1.63441143E+03   8.38362009E-01   1.60384903E-01   3.49306103E-04   6.02978265E-04   1.12661533E-05   1.81463316E-04   1.03596853E-05   2.41325259E-05  
  87               5.21719486E+01   1.68470403E+03   8.38377096E-01   1.60372626E-01   3.20653917E-04   5.78368382E-04   1.11618631E-05   2.09971774E-04   1.60670421E-05   2.39159119E-05  
  88               5.81260776E+01   1.73409306E+03   8.38391075E-01   1.60362479E-01   2.91470727E-04   5.66476775E-04   1.11035241E-05   2.39000682E-04   2.40876260E-05   2.30393289E-05  
  89               6.43969229E+01   1.78179391E+03   8.38406115E-01   1.60353311E-01   2.67841533E-04   5.45228042E-04   1.10918916E-05   2.62458016E-04   3.48119755E-05   2.29739864E-05  
  90               7.08662684E+01   1.82742851E+03   8.38407801E-01   1.60343874E-01   2.46192357E-04   5.30285179E-04   1.11114120E-05   2.83919417E-04   4.85809537E-05   2.28404891E-05  
  91               7.72505574E+01   1.86918690E+03   8.38388023E-01   1.60333211E-01   2.26333795E-04   5.25296799E-04   1.11588435E-05   3.03585873E-04   6.48968152E-05   2.25911138E-05  
  92               8.40921422E+01   1.91110858E+03   8.38334568E-01   1.60318657E-01   2.05063965E-04   5.33770202E-04   1.12275553E-05   3.24648308E-04   8.56226780E-05   2.21590465E-05  
  93               9.04821362E+01   1.94773641E+03   8.38267604E-01   1.60305421E-01   1.84034537E-04   5.60704361E-04   1.13090960E-05   3.45512084E-04   1.07929056E-04   2.15815731E-05  
  94               9.61276145E+01   1.97849820E+03   8.38259365E-01   1.60300683E-01   1.74601242E-04   5.51438829E-04   1.13889994E-05   3.54777469E-04   1.30175443E-04   2.15576964E-05  
  95               1.02361738E+02   2.01073291E+03   8.38246056E-01   1.60295678E-01   1.65541725E-04   5.42565277E-04   1.14867062E-05   3.63647229E-04   1.57358017E-04   2.15317627E-05  
  96               1.09223549E+02   2.04448130E+03   8.38218021E-01   1.60288661E-01   1.56842950E-04   5.34070658E-04   1.16006556E-05   3.72125834E-04   1.90596225E-04   2.15029603E-05  
  97               1.15160491E+02   2.07221632E+03   8.38197522E-01   1.60284141E-01   1.50303072E-04   5.27713381E-04   1.17061084E-05   3.78476092E-04   2.21955190E-04   2.14784672E-05  
  98               1.20031272E+02   2.09420644E+03   8.38178213E-01   1.60280420E-01   1.45431038E-04   5.22994761E-04   1.17939379E-05   3.83188985E-04   2.49684005E-04   2.14580740E-05  
  99               1.25524424E+02   2.11803459E+03   8.38153999E-01   1.60276263E-01   1.40510960E-04   5.18251030E-04   1.18974862E-05   3.87927178E-04   2.82769332E-04   2.14352658E-05  
  100              1.31698072E+02   2.14391818E+03   8.38123653E-01   1.60271540E-01   1.35489820E-04   5.13435128E-04   1.20147842E-05   3.92739469E-04   3.22614423E-04   2.14091937E-05  
  101              1.38611069E+02   2.17163517E+03   8.38050934E-01   1.60259499E-01   1.30525359E-04   5.08693471E-04   1.21501322E-05   3.97444022E-04   3.70054458E-04   2.13791583E-05  
