# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                CO               H2S             
  85               1.70038119E+02   1.92303056E+03   8.38211050E-01   1.60373880E-01   6.51054937E-04   3.49693533E-04   2.12023889E-05   6.68159656E-05   1.80094164E-04   2.28831911E-05  
  86               1.83680606E+02   1.96231193E+03   8.38162032E-01   1.60362177E-01   6.63825488E-04   3.31721916E-04   2.13520956E-05   8.49658886E-05   1.97798661E-04   2.25374944E-05  
  87               1.97528326E+02   1.99967527E+03   8.38117173E-01   1.60351673E-01   6.73966065E-04   3.15453424E-04   2.15243612E-05   1.05833252E-04   2.13787247E-04   2.22450876E-05  
  88               2.11137201E+02   2.03449285E+03   8.38084153E-01   1.60343510E-01   6.78545651E-04   3.01639029E-04   2.17169287E-05   1.29249109E-04   2.27313610E-04   2.20447484E-05  
  89               2.24866523E+02   2.06767438E+03   8.38072509E-01   1.60338323E-01   6.68868276E-04   2.91651018E-04   2.19257188E-05   1.55706347E-04   2.36993375E-04   2.20241414E-05  
  90               2.39323894E+02   2.10101461E+03   8.38052958E-01   1.60332441E-01   6.60069856E-04   2.82525331E-04   2.21517630E-05   1.85410794E-04   2.45788516E-04   2.20021941E-05  
  91               2.53915706E+02   2.13288165E+03   8.38030196E-01   1.60326721E-01   6.52265628E-04   2.74387218E-04   2.23810375E-05   2.17164902E-04   2.53589217E-04   2.19798513E-05  
  92               2.66985260E+02   2.16028220E+03   8.38005278E-01   1.60321317E-01   6.45623583E-04   2.67417216E-04   2.26065147E-05   2.49592771E-04   2.60228533E-04   2.19581949E-05  
  93               2.79372123E+02   2.18512224E+03   8.37982214E-01   1.60316863E-01   6.39907924E-04   2.61375264E-04   2.28252047E-05   2.82751864E-04   2.65947533E-04   2.19371502E-05  
  94               2.92114144E+02   2.20984952E+03   8.37955579E-01   1.60312266E-01   6.34603321E-04   2.55720858E-04   2.30564453E-05   3.19202882E-04   2.71259083E-04   2.19151210E-05  
  95               3.06519161E+02   2.23663168E+03   8.37923279E-01   1.60307196E-01   6.29345284E-04   2.50062188E-04   2.33123316E-05   3.61733366E-04   2.76531046E-04   2.18905279E-05  
  96               3.22776644E+02   2.26573513E+03   8.37875481E-01   1.60299806E-01   6.24262191E-04   2.44550883E-04   2.35901786E-05   4.09864743E-04   2.81611399E-04   2.18636305E-05  
  97               3.38715887E+02   2.29300599E+03   8.37824963E-01   1.60292389E-01   6.19729640E-04   2.39596774E-04   2.38628082E-05   4.59418103E-04   2.86133632E-04   2.18369328E-05  
  98               3.52158571E+02   2.31526313E+03   8.37773382E-01   1.60285286E-01   6.17454697E-04   2.35170339E-04   2.41138596E-05   5.06758410E-04   2.90164722E-04   2.18162665E-05  
  99               3.64482370E+02   2.33497006E+03   8.37732761E-01   1.60280451E-01   6.15819808E-04   2.31371798E-04   2.43448505E-05   5.52271368E-04   2.93599409E-04   2.17976629E-05  
  100              3.77081063E+02   2.35463043E+03   8.37689766E-01   1.60275537E-01   6.14432419E-04   2.27771113E-04   2.45831435E-05   6.00765957E-04   2.96821312E-04   2.17784966E-05  
  101              3.91555549E+02   2.37647452E+03   8.37645298E-01   1.60270441E-01   6.11620021E-04   2.24456923E-04   2.48342056E-05   6.53052589E-04   2.99724992E-04   2.17541712E-05  
