# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  88               9.36926524E+00   4.02631074E+03   4.90029152E-01   3.79090729E-01   1.29846551E-01   4.29537531E-04   1.95439845E-04   5.09769144E-05   4.45712989E-05   5.48419005E-06  
  89               1.06792883E+01   4.08591524E+03   4.80841564E-01   3.89082396E-01   1.29044976E-01   4.26788300E-04   1.88680932E-04   5.04651876E-05   4.42631196E-05   3.49115380E-06  
  90               1.21779503E+01   4.14557264E+03   4.72323628E-01   3.98346233E-01   1.28301857E-01   4.24207259E-04   1.82318291E-04   4.99656488E-05   4.39728373E-05   2.19149294E-06  
  91               1.38941525E+01   4.20865747E+03   4.63069378E-01   4.08411475E-01   1.27494537E-01   4.21374685E-04   1.75410191E-04   4.94332219E-05   4.36585646E-05   1.32418666E-06  
  92               1.58611344E+01   4.27215099E+03   4.54408931E-01   4.17831088E-01   1.26739031E-01   4.18669560E-04   1.68869816E-04   4.89093168E-05   4.33595714E-05   8.00696419E-07  
  93               1.81174876E+01   4.33950036E+03   4.44962158E-01   4.28106302E-01   1.25914944E-01   4.15669381E-04   1.61776729E-04   4.83508043E-05   4.30348967E-05   4.70549589E-07  
  94               2.07076215E+01   4.40758742E+03   4.36057781E-01   4.37791611E-01   1.25138174E-01   4.12748621E-04   1.55051601E-04   4.77981632E-05   4.27236099E-05   2.78655984E-07  
  95               2.36831200E+01   4.47984140E+03   4.26385427E-01   4.48312432E-01   1.24294416E-01   4.09487228E-04   1.47834917E-04   4.72116293E-05   4.23869885E-05   1.61247862E-07  
  96               2.71033698E+01   4.55295218E+03   4.17297185E-01   4.58197836E-01   1.23501614E-01   4.06259786E-04   1.41063801E-04   4.66312733E-05   4.20645843E-05   9.44142223E-08  
  97               3.10370061E+01   4.63035757E+03   4.07540065E-01   4.68810829E-01   1.22650470E-01   4.02633367E-04   1.33938155E-04   4.60202947E-05   4.17195488E-05   5.42515102E-08  
  98               3.55618175E+01   4.70901376E+03   3.98302132E-01   4.78858898E-01   1.21844623E-01   3.98919914E-04   1.27276730E-04   4.54129064E-05   4.13864239E-05   3.15221119E-08  
  99               4.07655523E+01   4.79252647E+03   3.88335279E-01   4.89699699E-01   1.20975204E-01   3.94634285E-04   1.20314787E-04   4.47742852E-05   4.10288054E-05   1.79614415E-08  
  100              4.67460839E+01   4.87760718E+03   3.78849284E-01   5.00017068E-01   1.20147744E-01   3.90074565E-04   1.13867414E-04   4.41384252E-05   4.06816958E-05   1.03443002E-08  
  101              5.36115937E+01   4.96772018E+03   3.68709761E-01   5.11044879E-01   1.19263296E-01   3.84711168E-04   1.07277728E-04   4.34756095E-05   4.03123351E-05   5.85670890E-09  
