# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              CO               N2              
  85               4.25624823E+01   1.32021377E+03   8.38140592E-01   1.60444943E-01   5.23508507E-04   7.73377403E-04   2.56037410E-05   2.42810267E-05   7.76095550E-06   4.80508862E-05  
  86               4.78918898E+01   1.36442092E+03   8.38146315E-01   1.60443428E-01   5.19407284E-04   7.69486835E-04   2.45538910E-05   2.42794487E-05   1.18491128E-05   4.85737389E-05  
  87               5.37386932E+01   1.40864146E+03   8.38153678E-01   1.60441475E-01   5.13874072E-04   7.64166403E-04   2.36984302E-05   2.42771903E-05   1.73637495E-05   4.89984064E-05  
  88               6.01487074E+01   1.45313052E+03   8.38162980E-01   1.60438990E-01   5.06655200E-04   7.57165573E-04   2.29930548E-05   2.42739109E-05   2.45565327E-05   4.93466657E-05  
  89               6.71810579E+01   1.49774938E+03   8.38174207E-01   1.60435932E-01   4.97667722E-04   7.48414033E-04   2.24307256E-05   2.42689730E-05   3.35083298E-05   4.96216469E-05  
  90               7.49055898E+01   1.54285389E+03   8.38187345E-01   1.60432232E-01   4.86774222E-04   7.37823101E-04   2.19777164E-05   2.42608005E-05   4.43535685E-05   4.98396799E-05  
  91               8.33614710E+01   1.58808845E+03   8.38200767E-01   1.60427734E-01   4.74190981E-04   7.25685306E-04   2.16361673E-05   2.42456863E-05   5.68728180E-05   4.99991993E-05  
  92               9.25532051E+01   1.63346966E+03   8.38215389E-01   1.60422900E-01   4.59983280E-04   7.13360828E-04   2.13810896E-05   2.41587506E-05   7.09989974E-05   5.01123682E-05  
  93               1.02455549E+02   1.67840168E+03   8.38215654E-01   1.60414692E-01   4.44954159E-04   6.98632565E-04   2.12161753E-05   2.41471887E-05   8.59168380E-05   5.01759309E-05  
  94               1.13008583E+02   1.72279600E+03   8.38214933E-01   1.60408529E-01   4.27234706E-04   7.01059163E-04   2.11179524E-05   2.32756307E-05   1.03511108E-04   5.02037603E-05  
  95               1.24190625E+02   1.76623469E+03   8.38228574E-01   1.60402784E-01   4.11393687E-04   6.85787935E-04   2.10909475E-05   2.32635281E-05   1.19205882E-04   5.01924466E-05  
  96               1.35982016E+02   1.80894221E+03   8.38239104E-01   1.60396843E-01   3.95641598E-04   6.71351901E-04   2.11127724E-05   2.32379885E-05   1.34786097E-04   5.01529878E-05  
  97               1.48254617E+02   1.85020237E+03   8.38243030E-01   1.60390518E-01   3.80417300E-04   6.59272481E-04   2.11875943E-05   2.31861198E-05   1.49814264E-04   5.00838809E-05  
  98               1.61435041E+02   1.89174236E+03   8.38234997E-01   1.60382796E-01   3.64736099E-04   6.51069963E-04   2.12998084E-05   2.30773231E-05   1.65263784E-04   4.99915216E-05  
  99               1.74990965E+02   1.93153733E+03   8.38211276E-01   1.60373796E-01   3.48982101E-04   6.50302742E-04   2.14526734E-05   2.28802567E-05   1.80763538E-04   4.98767346E-05  
  100              1.88582458E+02   1.96919669E+03   8.38163015E-01   1.60362100E-01   3.32599906E-04   6.59435760E-04   2.16229015E-05   2.25771282E-05   1.96874375E-04   4.97523374E-05  
  101              2.03245276E+02   2.00726355E+03   8.38044657E-01   1.60340295E-01   3.12730850E-04   6.89371947E-04   2.18314876E-05   2.20682150E-05   2.16431566E-04   4.96056847E-05  
