# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  82               2.98524700E+00   2.24007310E+03   8.35175773E-01   1.59947716E-01   3.69979926E-03   3.75135927E-04   5.29464749E-04   7.40905896E-08   6.05178074E-05   6.48695096E-05  
  83               3.20355226E+00   2.27633341E+03   8.34589009E-01   1.59896542E-01   4.33808393E-03   3.74891754E-04   5.29295733E-04   7.03472886E-08   6.04934681E-05   6.47542469E-05  
  84               3.44234554E+00   2.31359908E+03   8.33906401E-01   1.59836807E-01   5.07847407E-03   3.74616750E-04   5.29097452E-04   6.70283885E-08   6.04653605E-05   6.46297717E-05  
  85               3.70317949E+00   2.35116596E+03   8.33129142E-01   1.59769510E-01   5.91449080E-03   3.80931516E-04   5.28874466E-04   6.31839947E-08   6.04341705E-05   6.44969780E-05  
  86               3.98802244E+00   2.38957784E+03   8.32249169E-01   1.59692773E-01   6.87165448E-03   3.80653149E-04   5.28617895E-04   6.08401710E-08   6.03983548E-05   6.43544263E-05  
  87               4.29925399E+00   2.42815288E+03   8.31268254E-01   1.59607238E-01   7.93863001E-03   3.80331726E-04   5.28331034E-04   5.90000188E-08   6.03583965E-05   6.42027309E-05  
  88               4.63918339E+00   2.46747379E+03   8.30158655E-01   1.59510484E-01   9.14559025E-03   3.79959229E-04   5.28006038E-04   5.74473583E-08   6.03133852E-05   6.40402236E-05  
  89               5.01035657E+00   2.50679619E+03   8.28938905E-01   1.59404128E-01   1.04723728E-02   3.79543543E-04   5.27648028E-04   5.63366046E-08   6.02637416E-05   6.38680518E-05  
  90               5.41554051E+00   2.54677980E+03   8.27575156E-01   1.59285220E-01   1.19557931E-02   3.79073683E-04   5.27247363E-04   5.54635775E-08   6.02083195E-05   6.36842618E-05  
  91               5.85770769E+00   2.58659695E+03   8.26097711E-01   1.59156403E-01   1.35628848E-02   3.78561484E-04   5.26812541E-04   5.49952631E-08   6.01478844E-05   6.34905202E-05  
  92               6.34005401E+00   2.62698894E+03   8.24465253E-01   1.59014074E-01   1.53385872E-02   3.77992661E-04   5.26331741E-04   5.47323370E-08   6.00809858E-05   6.32845630E-05  
  93               6.86599813E+00   2.66708742E+03   8.22720272E-01   1.58861939E-01   1.72366781E-02   3.77383323E-04   5.25816956E-04   5.48461806E-08   6.00087336E-05   6.30685553E-05  
  94               7.43920873E+00   2.70769313E+03   8.20813305E-01   1.58695685E-01   1.93109580E-02   3.76715832E-04   5.25253985E-04   5.51440313E-08   5.99292982E-05   6.28399259E-05  
  95               8.06365705E+00   2.74784464E+03   8.18804501E-01   1.58520556E-01   2.14959941E-02   3.76012835E-04   5.24659882E-04   5.58165323E-08   5.98442780E-05   6.26015578E-05  
  96               8.74354309E+00   2.78847564E+03   8.16629781E-01   1.58330967E-01   2.38614868E-02   3.75251109E-04   5.24016208E-04   5.66575503E-08   5.97511700E-05   6.23502862E-05  
  97               9.48328719E+00   2.82859176E+03   8.14363915E-01   1.58133437E-01   2.63260978E-02   3.74458950E-04   5.23344212E-04   5.78653513E-08   5.96519184E-05   6.20895715E-05  
  98               1.02875375E+01   2.86918240E+03   8.11929977E-01   1.57921257E-01   2.89735021E-02   3.73608207E-04   5.22621715E-04   5.92311372E-08   5.95432515E-05   6.18158237E-05  
  99               1.11612005E+01   2.90915409E+03   8.09424143E-01   1.57702816E-01   3.16990769E-02   3.72735553E-04   5.21876098E-04   6.09777961E-08   5.94276213E-05   6.15333561E-05  
  100              1.21094401E+01   2.94960859E+03   8.06750148E-01   1.57469718E-01   3.46075324E-02   3.71805394E-04   5.21079577E-04   6.28777974E-08   5.93005245E-05   6.12378797E-05  
  101              1.31377048E+01   2.98938658E+03   8.04024082E-01   1.57232086E-01   3.75725831E-02   3.70862367E-04   5.20265235E-04   6.51757045E-08   5.91647925E-05   6.09344526E-05  
